Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k
2001-01-01,3.297857142857143,68.87499959012155,3.5222939068100354,2618.5154761904764,0.07142857142857142,50.52614045140159,90.4375,40.5,,4395.4536,633.69475,1.0476607081155767
2001-02-01,4.0355952380952385,72.72246206174778,3.9161937880415323,2586.921428571429,0.16666666666666669,52.12548110355253,58.875,19.6875,,9071.70725,813.86195,0.6253014804309049
2001-03-01,1.5752380952380953,75.96052564206215,3.7180784141613636,2731.164285714286,0.2619047619047619,59.03382378757954,64.8125,31.5,,17723.88265,1338.2997,0.5909218516808452
2001-04-01,0.9964285714285716,69.24872475636023,4.1516028295376115,2970.052380952381,0.047619047619047616,61.66427122153209,53.625,26.6875,,33417.3393,1220.3134,0.38983018916742734
2001-05-01,0.14047619047619045,65.79885453767942,4.007987711213518,2980.953571428571,0.21428571428571427,69.49157185232268,65.1875,39.125,,22334.85285,1341.28055,0.936697915036913
2001-06-01,0.015,62.53617893434235,4.065198412698413,2926.6047619047617,0.21428571428571427,72.86238095238096,56.9375,31.9375,,11047.766,1294.9556499999999,1.0735702139756544
2001-07-01,0.01964285714285713,68.04281480168576,3.839247311827957,2855.809523809524,0.0,75.49377880184332,55.125,28.625,,6187.9631,1933.78645,1.2982528742711856
2001-08-01,0.012857142857142857,67.46383768561188,3.6072580645161287,2684.4273809523806,0.0,75.56375734943587,57.0625,35.625,,3921.7414500000004,1172.766,3.2262030769163927
2001-09-01,0.048809523809523796,67.14668335711208,3.5972597153804053,2417.5059523809527,0.0238095238095238,73.0858951833607,60.75,37.9375,,2894.1439,1830.4242,3.5946454258851506
2001-10-01,0.16476190476190475,71.51992409867172,3.1696055841691515,2320.75,0.0,68.02040933837384,71.875,46.4375,,3587.1776499999996,906.6322,5.119459615330759
2001-11-01,1.6732142857142858,78.1775403667214,3.197383689107827,2239.586904761905,0.047619047619047616,61.68736377941981,86.0625,39.375,,2224.54745,409.30625,3.8443421730203133
