County,Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k,log1p_rate_per_100k,log1p_diff_rate_per_100k
Fresno,2001-01-01,1.65,80.66881720430108,4.135089605734767,3055.316666666667,0.5,47.96848694316436,114.5,58.0,,18077.0509,36543.63,0.3689941588224658,0.31407627954955825,
Fresno,2001-02-01,1.405,77.18694885361552,5.010119047619047,3367.65,1.1666666666666667,50.15892857142857,86.0,20.0,,42439.2841,45532.6519,0.0,0.0,-0.31407627954955825
Fresno,2001-03-01,1.12,71.83225806451613,4.940860215053763,3676.616666666667,0.8333333333333334,57.800322580645165,68.0,40.0,,138455.3561,67811.0935,0.0,0.0,0.0
Fresno,2001-04-01,0.6699999999999999,60.1520202020202,5.575386473429951,3880.95,0.3333333333333333,60.41100966183575,52.5,31.5,,92001.9361,29471.3377,0.1229980529408219,0.11600194195321975,0.11600194195321975
Fresno,2001-05-01,0.4433333333333333,38.95555555555555,6.362903225806452,4735.7,1.5,70.42297491039426,56.5,47.0,,111242.7386,90223.1172,0.1229980529408219,0.11600194195321975,0.0
Fresno,2001-06-01,0.0,37.73946360153257,6.357777777777778,4574.583333333333,1.5,74.40833333333333,47.0,33.0,,43903.9317,1063.2554,0.0,0.0,-0.11600194195321975
Fresno,2001-07-01,0.0816666666666666,50.07882547559967,5.259139784946236,3912.566666666667,0.0,77.76344086021506,53.0,35.0,,25008.5078,436.73,0.4919922117632878,0.40011228177014846,0.40011228177014846
Fresno,2001-08-01,0.0,50.0,5.070967741935484,3770.433333333333,0.0,77.48924731182795,53.0,36.0,,8556.8098,1202.553,0.7379883176449317,0.552728305097325,0.1526160233271765
Fresno,2001-09-01,0.0033333333333333,49.913390196436175,5.206206896551724,3083.2666666666664,0.1666666666666666,74.16772030651342,60.0,46.5,,4125.004,3098.2578,0.6149902647041098,0.4793289286094603,-0.07339937648786465
Fresno,2001-10-01,0.1933333333333333,56.774193548387096,4.08225806451613,3037.9500000000003,0.0,67.59435854653319,70.5,56.0,,2284.2348,3975.05,2.090966899993973,1.1284839545821197,0.6491550259726594
Fresno,2001-11-01,1.4933333333333334,81.29444444444444,3.7688888888888887,2711.9666666666667,0.3333333333333333,60.19722222222222,127.0,61.5,,2020.622,5466.0025,1.9679688470531511,1.0878778289741553,-0.040606125607964394
Fresno,2001-12-01,1.6566666666666665,88.87455197132617,4.725806451612903,3514.1666666666665,0.8333333333333334,52.13992969396195,89.0,23.0,,4217.1127,882.0,0.2459961058816439,0.21993529506474674,-0.8679425339094086
Fresno,2002-01-01,0.61,87.53225806451614,3.873815213062525,2799.183333333333,0.1666666666666666,50.46258064516129,118.0,45.0,,25805.4429,2563.5,0.843615398150313,0.6117285340479919,0.39179323898324514
Fresno,2002-02-01,0.11,74.72548558897243,4.188369360902255,2425.0333333333333,0.5,52.335297980528246,86.0,57.5,,29663.1981,1759.3987,0.2410329709000894,0.2159440738792885,-0.3957844601687034
Fresno,2002-03-01,0.8666666666666667,63.392473118279575,5.461827956989247,4064.433333333333,1.6666666666666667,55.24412186379928,60.0,25.0,,84084.0178,6951.9348,0.7230989127002683,0.544124363153003,0.32818028927371456
Fresno,2002-04-01,0.2266666666666666,57.92222222222222,6.097777777777778,4390.533333333334,0.8333333333333334,63.28888888888889,38.0,30.0,,62797.8476,2769.5649,0.6025824272502236,0.4716163451514743,-0.07250801800152873
Fresno,2002-05-01,0.2583333333333333,45.41254480286739,6.401075268817205,4762.983333333334,0.6666666666666666,67.07385304659498,44.0,23.0,,44938.9478,9736.4326,0.6025824272502236,0.4716163451514743,0.0
Fresno,2002-06-01,0.0,43.333333333333336,6.462222222222223,4652.666666666667,1.5,74.23402777777778,44.0,31.0,,27228.4364,3228.7026,1.5667143108505814,0.9426266026883019,0.47101025753682757
Fresno,2002-07-01,0.0,46.17204301075268,5.261827956989247,3913.2833333333338,0.0,78.53505376344086,55.0,41.0,,18597.2077,2633.8064,0.7230989127002683,0.544124363153003,-0.39850223953529884
Fresno,2002-08-01,0.0,49.973118279569896,4.721505376344086,3512.35,0.0,75.97753882915173,69.0,50.0,,13401.4768,5050.7062,1.4461978254005363,0.8945349111003014,0.3504105479472983
Fresno,2002-09-01,0.0,46.55555555555555,4.587777777777777,3301.9166666666665,0.0,72.18440170940171,58.0,56.5,,2175.9451,2437.655,0.7230989127002683,0.544124363153003,-0.3504105479472983
Fresno,2002-10-01,0.0,55.62903225806452,3.8618279569892473,2872.2666666666664,0.3333333333333333,64.22096774193548,73.0,59.0,,793.9139,17207.7119,0.4820659418001788,0.3934370210258368,-0.15068734212716628
Fresno,2002-11-01,1.0,74.41379310344827,3.545555555555556,2553.7166666666667,0.5,56.93111111111111,143.5,64.0,,1129.833,5074.255,0.3615494563501341,0.308623357371051,-0.08481366365478576
Fresno,2002-12-01,1.7466666666666668,86.03225806451614,4.353763440860215,3239.633333333333,1.1666666666666667,51.88494623655914,84.0,35.0,,5724.4683,2407.4,0.4820659418001788,0.3934370210258368,0.08481366365478576
Fresno,2003-01-01,0.3916666666666666,95.30645161290325,3.1763440860215053,2362.2666666666664,0.0,52.78225806451613,105.0,39.0,,23748.998,7713.8356,0.4721474327573527,0.38672217341439613,-0.006714847611440644
Fresno,2003-02-01,1.38,78.75595238095238,4.11904761904762,2767.083333333333,0.1666666666666666,52.9625,88.0,21.5,,50855.6277,16511.588,0.1180368581893381,0.11157434215847238,-0.27514783125592374
Fresno,2003-03-01,0.695,67.04041527623285,5.266666666666667,3920.1166666666654,2.1666666666666665,57.47150537634408,58.0,29.0,,103737.8833,5855.1778,0.4721474327573527,0.38672217341439613,0.27514783125592374
Fresno,2003-04-01,1.25,63.86111111111111,5.835555555555556,4199.849999999999,0.3333333333333333,60.587222222222216,35.0,15.0,,60453.839,716.04,0.590184290946691,0.46384991577130963,0.0771277423569135
Fresno,2003-05-01,0.665,52.89784946236559,6.024731182795699,4483.8,0.6666666666666666,67.04086021505377,50.0,36.0,,40854.7392,4932.3377,0.8262580073253674,0.602269068645572,0.13841915287426232
Fresno,2003-06-01,0.0,46.144444444444446,5.86888888888889,4225.683333333333,0.0,74.3472030651341,50.0,34.5,,12266.7407,6819.0124,0.8262580073253674,0.602269068645572,0.0
Fresno,2003-07-01,0.0,42.39641577060931,5.09247311827957,3788.4166666666665,0.0,78.67956989247311,56.0,40.0,,18057.0409,7743.562,0.7082211491360292,0.5354525654016503,-0.06681650324392163
Fresno,2003-08-01,0.0,50.97849462365591,5.351075268817205,3981.9,0.0,78.36559139784946,50.0,43.0,,42610.0346,6459.6693,2.242700305597426,1.176406410349784,0.6409538449481337
